X,Y_0,Y_1,W,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
1,,,0.00617565,2,285.42,1,9,,3,4,46217,3
4,,,0.008894706,2,285.44,1,4,,1,2,32091,6
2,,,0.015863525,5,285.48,4,9,,1,1,17996,7
1,,,0.007626308,2,285.59,2,7,,3,3,37448,3
1,,,0.005571682,2,285.61,1,9,,3,2,51261,3
1,,,0.017309137,5,285.67,3,8,,2,2,16504,4
1,,,0.021385813,1,285.8,4,8,,1,3,13364,7
1,,,0.013455889,4,285.83,2,9,,1,3,21242,6
1,,,0.013431055,3,285.88,1,9,,3,2,21285,3
1,,,0.022579143,5,286.01,4,5,,2,2,12667,4
2,,,0.010608083,1,286.1,2,8,,1,1,26970,6
1,,,0.003850491,4,286.13,1,9,,2,5,74310,1
5,,,0.009472378,3,286.17,1,9,,1,3,30211,7
1,,,0.019228754,3,286.22,1,9,,2,2,14885,4
1,,,0.032779432,5,286.23,3,5,,1,1,8732,6
1,,,0.02836306,2,286.24,1,5,,1,3,10092,7
5,,,0.013417514,1,286.37,4,9,,3,3,21343,4
1,,,0.014761929,5,286.47,4,7,,1,1,19406,7
5,,,0.008532801,3,286.54,4,9,,2,3,33581,5
2,,,0.027552885,5,286.55,3,6,,1,1,10400,6
2,,,0.012325781,5,286.71,4,8,,1,1,23261,7
1,,,0.007443671,2,286.76,1,8,,2,2,38524,1
1,,,0.035841869,2,286.95,1,9,,1,2,8006,6
4,,,0.023250263,5,287.35,4,5,,1,1,12359,6
2,,,0.011390298,5,287.4,4,9,,1,1,25232,7
1,,,0.018153856,2,287.43,4,5,,1,3,15833,7
1,,,0.008682526,3,287.6,4,9,,4,3,33124,3
1,,,0.005780971,3,287.69,1,9,,4,3,49765,3
1,,,0.019164724,2,287.72,4,7,,1,2,15013,6
1,,,0.014396379,1,287.87,4,7,,1,2,19996,7
1,,,0.016864422,4,287.96,1,9,,1,3,17075,7
1,,,0.003854346,2,288.07,4,9,,5,4,74739,3
1,,,0.014653375,5,288.1,3,7,,1,1,19661,7
1,,,0.02306098,3,288.17,1,9,,2,3,12496,1
1,,,0.016864878,2,288.44,2,9,,2,2,17103,4
1,,,0.007160757,3,288.6,1,4,,2,2,40303,1
2,,,0.018714823,5,288.62,3,6,,1,2,15422,6
