X,Y_0,Y_1,W,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
2,9845.3,18.9136,0.026,2,447.0,2,6,1,1,4,32313,6
1,13215.2,18.9224,0.0211,2,600.0,1,6,1,2,5,52778,1
2,11836.8,19.094,0.0761,2,600.1,4,9,0,3,3,16106,4
2,16792.8,19.1178,0.0491,4,762.4,4,9,0,2,3,22333,5
2,6821.7,19.0628,0.0574,5,345.9,4,6,0,1,2,11128,7
1,12661.1,19.2447,0.0415,2,641.9,2,6,0,4,3,25976,4
2,11342.1,19.0219,0.1047,2,575.0,2,2,0,2,2,9401,1
2,13409.6,19.1908,0.0689,3,679.9,4,7,0,3,3,17456,4
1,13803.0,18.9998,0.1182,5,699.8,4,8,1,1,3,8803,6
1,13318.6,18.907,0.0259,2,604.7,2,3,1,2,4,42106,1
2,8254.2,19.1396,0.0768,5,418.5,4,6,0,1,1,7740,7
2,15172.6,19.0449,0.0213,3,688.8,1,5,0,3,3,55704,1
2,14157.9,19.0489,0.0566,3,717.8,4,8,0,1,1,18082,7
2,11933.2,19.0111,0.062,3,541.8,1,5,0,1,2,13286,7
1,15357.9,19.0706,0.0136,2,778.6,1,5,0,4,3,100000,3
2,12222.6,18.6865,0.0684,4,554.9,1,7,1,1,5,14385,7
2,15328.9,19.0281,0.0657,3,777.2,4,4,0,4,3,21000,4
2,12023.1,18.9501,0.0182,3,545.8,1,9,0,2,3,51621,1
2,15574.8,18.991,0.026,4,707.1,1,9,0,2,2,41628,2
2,10567.3,18.8651,0.0587,2,479.8,1,4,1,1,4,14950,6
1,9898.4,19.0167,0.0132,3,449.4,1,2,0,2,3,63657,1
1,10410.9,19.0876,0.052,2,472.7,2,3,0,4,3,19803,3
1,14927.9,18.8145,0.0432,4,677.7,1,6,1,1,3,25055,7
1,14652.2,19.2732,0.0432,5,742.9,3,5,0,5,3,32442,3
2,12763.7,19.2003,0.0768,3,647.1,4,5,0,1,1,10137,7
1,14780.6,18.964,0.02,3,671.0,1,4,0,2,2,51686,1
2,17201.4,18.8825,0.0335,3,780.9,1,3,0,5,3,41076,3
1,15281.5,18.7886,0.0292,4,693.8,1,5,1,2,5,40347,2
1,9220.1,19.2146,0.1233,1,467.5,2,8,0,1,2,6920,6
1,12077.3,18.8581,0.0162,2,548.3,1,3,1,3,5,75775,5
2,14096.1,19.0243,0.0454,2,640.0,1,3,0,2,3,23383,4
1,15725.8,19.1263,0.0148,4,714.0,1,4,0,5,5,100000,3
2,11677.6,19.0669,0.0439,3,530.2,3,5,0,3,3,22797,4
2,18603.0,18.8231,0.0371,4,943.2,1,6,1,2,5,44836,1
2,9044.1,19.161,0.13,5,458.5,4,9,0,1,2,6376,7
1,10007.4,19.1168,0.0401,1,507.4,4,3,0,5,3,29143,3
1,6200.1,19.1095,0.0664,2,314.3,2,3,0,1,2,10608,6
2,5296.5,19.1598,0.0496,5,268.5,3,6,0,1,1,8138,6
1,11110.7,19.1399,0.0114,1,504.4,1,8,0,3,3,87064,3
1,9381.9,19.0232,0.0314,1,475.7,2,9,0,4,3,36260,3
2,7539.8,19.1598,0.0491,2,382.3,2,9,0,1,2,13953,6
2,12898.7,18.7797,0.022,4,585.6,1,5,1,1,5,46638,7
1,12311.7,18.9078,0.032,4,559.0,1,9,1,2,4,31319,1
2,13277.0,18.9982,0.0556,3,673.1,1,7,0,2,3,19668,2
1,4338.7,19.0954,0.0386,1,197.0,2,5,0,4,3,21414,3
1,17658.1,19.1903,0.038,6,801.7,2,2,0,2,2,30557,5
1,18617.8,19.2601,0.0677,2,943.9,3,8,0,2,4,20995,2
2,8078.3,18.9369,0.0522,1,366.8,2,6,0,4,4,17980,3
2,9677.5,19.0535,0.0302,2,490.6,3,4,0,2,3,30363,5
2,11323.8,19.0048,0.0278,3,514.1,1,6,0,3,4,38454,3
