X,Y_0,Y_1,W,F_p,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
1,14653.3,19.0413,7,0,1,665.3,1,5,0,3,4,2,3
2,11246.2,19.1683,3,0,3,570.2,4,4,0,3,3,3,3
1,11281.0,19.1868,3,0,2,571.9,2,5,0,4,4,4,4
2,8951.4,19.1293,11,1,3,453.8,4,5,0,4,2,1,3
2,9041.9,19.2486,5,0,5,458.4,4,6,0,4,2,2,3
2,11596.0,18.8446,1,0,4,526.5,1,9,1,2,5,9,1
1,12303.4,18.9862,3,0,6,558.6,1,3,0,1,2,3,6
1,6744.0,19.1037,2,0,3,306.2,2,7,0,2,3,4,1
2,5753.1,18.9832,4,0,4,291.7,4,9,0,5,5,3,3
2,13333.2,18.9618,4,0,3,676.0,1,4,0,2,3,3,1
1,8563.9,19.1413,2,0,5,388.8,1,4,0,4,4,4,3
2,12848.0,18.8923,5,0,3,651.4,4,9,1,1,3,2,6
2,9812.8,18.8659,2,0,4,445.5,1,7,1,2,5,3,2
2,14427.4,18.9533,4,0,3,655.0,2,6,0,4,5,4,3
2,15333.6,19.0036,2,0,3,696.1,1,6,0,2,2,5,1
1,13115.8,19.242,5,0,1,665.0,2,4,0,5,4,3,3
2,13737.1,19.0476,3,0,3,623.7,1,3,0,2,3,3,1
1,8842.4,19.0722,4,0,2,448.3,1,4,0,2,2,3,2
1,14924.9,18.946,10,1,2,756.7,3,6,1,1,4,2,7
1,15637.3,18.8539,9,0,4,709.9,1,2,1,2,5,2,2
2,8087.5,19.057,5,0,5,410.0,3,8,0,1,2,2,6
2,14334.6,19.0838,4,0,3,726.8,4,6,0,2,2,3,2
2,7627.4,19.1408,1,0,5,346.3,1,9,0,2,2,7,1
1,11120.3,19.0643,5,0,2,563.8,2,3,0,3,2,3,4
1,13348.9,19.1465,16,1,2,676.8,2,3,0,5,2,1,3
1,18985.4,19.0322,2,0,2,861.9,1,2,0,3,2,6,1
1,12265.6,19.2046,2,0,2,556.9,2,8,0,2,1,4,1
1,19174.6,18.9063,2,0,4,870.5,1,4,1,2,5,5,1
1,10944.2,19.3273,6,0,1,554.9,4,5,0,3,4,2,1
2,13431.0,19.027,4,0,2,609.8,1,4,0,2,3,3,4
2,8450.2,19.0647,4,0,2,428.4,2,5,0,4,3,3,3
2,9327.8,18.9895,8,0,3,423.5,1,6,0,2,2,2,4
2,10194.6,19.1852,5,0,5,462.8,4,5,0,1,1,2,7
1,7917.2,19.2892,7,0,1,401.4,4,5,0,1,1,1,7
2,11044.5,19.0364,6,0,1,560.0,2,7,0,3,3,2,4
1,12032.2,19.0759,6,0,3,546.3,2,6,0,1,2,2,6
2,9640.2,18.9178,3,0,2,437.7,2,9,0,4,2,3,3
2,16440.9,19.0484,6,0,3,833.6,1,4,0,2,3,2,2
1,9958.8,19.0435,7,0,2,452.1,1,3,0,4,5,2,3
2,11192.3,19.1226,6,0,5,567.4,3,6,0,1,1,2,6
1,15914.9,18.8729,16,1,3,722.5,1,6,1,1,4,1,7
1,11144.2,19.1744,6,0,1,505.9,2,8,0,1,1,2,6
2,5855.1,19.169,4,0,5,265.8,2,9,0,1,1,2,6
2,14265.3,19.0408,5,0,3,647.6,1,5,0,2,3,2,2
1,14209.4,18.916,3,0,4,645.1,1,8,1,2,5,4,2
1,8624.5,19.0999,1,0,3,391.6,1,4,0,2,3,5,1
2,16673.6,18.8683,8,0,1,757.0,1,5,1,1,5,2,7
2,12499.1,18.8351,2,0,2,567.5,1,4,1,3,5,6,1
2,17998.0,19.0916,3,0,3,817.1,1,6,0,2,4,4,4
2,12191.4,19.0054,6,0,3,618.1,1,5,0,4,3,3,3
1,8713.3,19.2583,4,0,5,441.8,3,4,0,2,3,2,5
1,15886.8,19.2126,3,0,2,721.3,3,5,0,5,5,5,3
1,10596.6,19.1924,5,0,6,481.1,2,2,0,4,1,2,3
1,7307.4,19.1442,1,0,2,331.8,2,3,0,2,3,5,5
2,15821.3,18.7291,3,0,3,718.3,1,9,1,4,5,5,3
1,9042.6,19.0237,5,0,6,458.5,2,3,0,4,3,2,4
1,11647.1,19.3451,5,0,5,590.5,4,9,0,4,2,3,3
1,14813.5,19.0968,6,0,2,751.0,2,2,0,5,4,3,3
2,8584.9,19.0583,3,0,3,389.8,1,5,0,2,3,3,2
1,20497.7,18.9523,8,0,2,930.6,1,3,0,5,5,3,5
2,13647.6,18.9878,4,0,3,619.6,1,5,0,2,3,3,2
1,9876.6,19.0048,1,0,3,448.4,1,5,0,3,3,7,2
2,13003.6,19.1493,2,0,5,590.4,3,5,0,3,2,4,3
2,13611.6,19.0759,4,0,3,618.0,1,4,0,3,4,3,3
1,14439.1,19.1181,9,0,3,732.1,4,5,0,4,3,2,3
2,15553.3,19.0142,9,0,4,706.1,2,7,0,1,2,2,7
2,5037.0,19.1317,2,0,5,255.4,2,6,0,5,3,4,3
1,12606.2,19.0474,3,0,2,572.3,1,2,0,4,5,4,3
2,19573.2,19.0868,4,0,3,888.6,1,5,0,2,3,4,1
2,9322.7,19.1883,4,0,1,472.7,3,5,0,2,1,2,1
2,12369.7,19.0922,3,0,1,561.6,4,6,0,4,3,4,4
1,9098.1,19.2015,5,0,2,461.3,4,4,0,2,3,2,4
1,12729.3,19.1903,1,0,3,577.9,2,5,0,4,5,7,3
1,17116.3,18.8305,2,0,4,777.1,1,7,1,1,5,5,6
2,2089.5,19.145,3,0,5,105.9,2,5,0,1,1,2,6
2,16610.1,18.9918,2,0,6,842.1,2,3,0,1,2,5,6
